./2013.q1-q4.by_area/2013.q1-q4 01000 Alabama -- Statewide.csv:"01000","5","10","51","0","2013","1","","Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",108466,1449698,1461184,1474241,15210632919,8403973914,241170965,800,"",0.98,0.96,0.96,0.96,0.94,1.00,1.00,0.98,"",-54,0.0,17235,1.2,20455,1.4,17161,1.2,327730737,2.2,138593231,1.7,-20934231,-8.0,7,0.9
./2013.q1-q4.by_area/2013.q1-q4 01000 Alabama -- Statewide.csv:"01000","5","10","51","0","2013","2","","Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",109105,1483358,1491488,1497590,15016733068,2390368796,66709454,775,"",0.98,0.96,0.96,0.95,0.95,1.02,1.00,0.99,"",61,0.1,17152,1.2,20521,1.4,19672,1.3,381709427,2.6,8144011,0.3,-5854005,-8.1,10,1.3
./2013.q1-q4.by_area/2013.q1-q4 01000 Alabama -- Statewide.csv:"01000","5","10","51","0","2013","3","","Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",109710,1487496,1494761,1491481,14977518620,1446515383,40499033,773,"",0.98,0.95,0.95,0.96,0.93,1.03,1.01,0.98,"",-175,-0.2,19072,1.3,16988,1.1,15756,1.1,399374530,2.7,984956,0.1,-3610436,-8.2,12,1.6
./2013.q1-q4.by_area/2013.q1-q4 01000 Alabama -- Statewide.csv:"01000","5","10","51","0","2013","4","","Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",111766,1489745,1499930,1505555,16293497233,1246434206,35947602,836,"",0.98,0.96,0.96,0.96,0.93,1.03,1.00,0.98,"",-256,-0.2,16561,1.1,15279,1.0,22267,1.5,111256398,0.7,29853308,2.5,-2408164,-6.3,-5,-0.6
./2013.q1-q4.by_area/2013.q1-q4 02000 Alaska -- Statewide.csv:"02000","5","10","51","0","2013","1","","Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",19633,230779,235356,237697,2993675599,2570947943,83333278,982,"",0.93,0.89,0.89,0.89,0.88,0.99,0.98,0.99,"",-27,-0.1,3325,1.5,3679,1.6,3437,1.5,80893061,2.8,82304659,3.3,9989231,13.6,13,1.3
./2013.q1-q4.by_area/2013.q1-q4 02000 Alaska -- Statewide.csv:"02000","5","10","51","0","2013","2","","Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",19873,241830,253457,269553,3071775113,2058146308,68112475,927,"",0.93,0.89,0.90,0.93,0.88,0.99,0.98,0.97,"",299,1.5,3732,1.6,2954,1.2,1816,0.7,80731459,2.7,53224922,2.7,7187434,11.8,14,1.5
./2013.q1-q4.by_area/2013.q1-q4 02000 Alaska -- Statewide.csv:"02000","5","10","51","0","2013","3","","Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",19979,280032,279075,265381,3466823720,1742884204,61212451,970,"",0.94,0.95,0.93,0.91,0.92,1.01,0.98,0.99,"",-159,-0.8,2866,1.0,3802,1.4,3694,1.4,150963788,4.6,101685688,6.2,8567064,16.3,30,3.2
./2013.q1-q4.by_area/2013.q1-q4 02000 Alaska -- Statewide.csv:"02000","5","10","51","0","2013","4","","Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",19816,248183,238836,235984,3191490181,1016030317,33633476,1019,"",0.93,0.90,0.89,0.89,0.88,1.01,0.98,0.99,"",112,0.6,227,0.1,1396,0.6,2318,1.0,84949238,2.7,44782535,4.6,4087091,13.8,22,2.2
./2013.q1-q4.by_area/2013.q1-q4 04000 Arizona -- Statewide.csv:"04000","5","10","51","0","2013","1","","Arizona -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",139566,2066178,2080794,2094935,24195530719,10999352345,257979594,895,"",1.01,1.00,1.00,1.00,1.00,1.00,0.99,1.00,"",-2995,-2.1,48904,2.4,54883,2.7,52832,2.6,710555087,3.0,334788331,3.1,7520812,3.0,4,0.4
./2013.q1-q4.by_area/2013.q1-q4 04000 Arizona -- Statewide.csv:"04000","5","10","51","0","2013","2","","Arizona -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",140235,2091019,2092406,2087032,23269667080,2888256888,65953846,856,"",1.01,1.00,1.00,1.01,0.99,1.01,0.99,0.99,"",-3576,-2.5,57513,2.8,59185,2.9,54434,2.7,1022140466,4.6,151372246,5.5,4025132,6.5,14,1.7
