200701,15,527,200701,15,1930,1237,5396,"NEW HAMPSHIRE",33,2007,"January","Ice Storm","Z",12,"HILLSBOROUGH","BOX","15-JAN-07 05:27:00","EST-5","15-JAN-07 19:30:00","0","0","0","0","35.00K","0.00K","Amateur Radio",,,,,,,,,,,,,,,,,,,,,,"Low pressure tracked from the Ohio Valley through the Mass Turnpike region of southern New England, bringing a prolonged period of freezing rain and sleet to southwest New Hampshire. This resulted in as much as one quarter to one half inch of icing, which caused widespread damage throughout Cheshire and Hillsborough Counties. There were many reports of downed trees, large branches, and power lines from Keene to Manchester. At the peak of the storm, around 38,000 homes were left without power.","Trees, large branches, and power lines were brought down by icing in Nashua, Hudson, and Manchester.","CSV"
200712,31,230,200712,31,1230,12488,68481,"NEW HAMPSHIRE",33,2007,"December","Heavy Snow","Z",12,"EASTERN HILLSBOROUGH","BOX","31-DEC-07 02:30:00","EST-5","31-DEC-07 12:30:00","0","0","0","0","0.00K","0.00K","NWS Employee",,,,,,,,,,,,,,,,,,,,,,"A low pressure center developed along the Mid-Atlantic coast and moved east of Nantucket, spreading snow across southwestern New Hampshire.  Storm snowfall totals ranged from six to eight inches.","","CSV"
200712,16,500,200712,16,2100,12864,70993,"NEW HAMPSHIRE",33,2007,"December","Heavy Snow","Z",12,"EASTERN HILLSBOROUGH","BOX","16-DEC-07 05:00:00","EST-5","16-DEC-07 21:00:00","0","0","0","1","0.00K","0.00K","Trained Spotter",,,,,,,,,,,,,,,,,,,,,,"Two low pressure systems merged into a storm over eastern Massachusetts and produced strong winds and heavy snow across New Hampshire.  One indirect fatality occurred when a car collided with a snow removal machine in Nashua.  The driver of the car died from injuries sustained in the crash.","","CSV"
200712,19,1600,200712,21,400,12839,70860,"NEW HAMPSHIRE",33,2007,"December","Heavy Snow","Z",12,"EASTERN HILLSBOROUGH","BOX","19-DEC-07 16:00:00","EST-5","21-DEC-07 04:00:00","0","0","0","0","0.00K","0.00K","NWS Employee",,,,,,,,,,,,,,,,,,,,,,"A low pressure system that moved across northern New England and another low pressure system that formed south of Long Island merged along the southeast coast of Massachusetts. This storm produced heavy snow across much of southern New Hampshire.  An eight year old girl was seriously injured (indirect) while playing outside when she slipped and fell in front of a snowblower and got sucked into the machine.","","CSV"
200712,13,1100,200712,13,2200,12875,71062,"NEW HAMPSHIRE",33,2007,"December","Heavy Snow","Z",12,"EASTERN HILLSBOROUGH","BOX","13-DEC-07 11:00:00","EST-5","13-DEC-07 22:00:00","0","0","0","0","0.00K","0.00K","Trained Spotter",,,,,,,,,,,,,,,,,,,,,,"High pressure across the St. Lawrence Valley locked in cold air across southern New England and combined with low pressure south of the coast to produce a significant snowfall.  Snow fell at rates of up to two inches per hour for an eight to ten hour period resulting in nearly a foot of snow in most locations.  Many motorists were affected as early dismissals from work and school just before snow began created rush hour like conditions which limited the snowplows' ability to plow.","","CSV"
200703,16,1200,200703,17,1100,3509,19213,"NEW HAMPSHIRE",33,2007,"March","Winter Storm","Z",12,"HILLSBOROUGH","BOX","16-MAR-07 12:00:00","EST-5","17-MAR-07 11:00:00","0","0","0","0","0.00K","0.00K","Trained Spotter",,,,,,,,,,,,,,,,,,,,,,"Low pressure over the Carolinas strengthened as it tracked over southeast Massachusetts and Cape Cod Bay. This winter storm brought heavy snow and sleet to southwest New Hampshire, with totals of 8 to 15 inches on average.|The lower portion of Interstate 93 was littered with spinouts, rollovers, and cars off the road, but no serious injuries were reported. Accidents backed up traffic in both directions on the interstate.|Some specific snowfall totals, as reported by cooperative observers and trained spotters, included 15 inches in Francestown, 13 inches in Keene and Peterborough, 12 inches in Marlow, Merrimack and Milford, 10 inches in Walpole, Westmoreland, Winchester, Goffstown, and Hollis, and 9 inches in Swanzey, Troy, and Nashua.","Snowfall totals ranged from 9 inches in Nashua to 12 inches in Merrimack.","CSV"
200705,22,300,200705,22,600,5834,34170,"NEW HAMPSHIRE",33,2007,"May","Frost/Freeze","Z",12,"HILLSBOROUGH","BOX","22-MAY-07 03:00:00","EST-5","22-MAY-07 06:00:00","0","0","0","0","0.00K","0.00K","COOP Observer",,,,,,,,,,,,,,,,,,,,,,"An unseasonably chilly airmass moved into Southern New England behind a cold front on the 22nd of May. Several locations in Northern Massachusetts and Southwestern New Hampshire experienced a frost with low temperatures dropping into the lower to mid 30s.","Early morning low temperatures were as follows: Greenville 34; Milford 38; Francestown 33; and Hudson 35.","CSV"
200704,4,800,200704,5,500,4635,26479,"NEW HAMPSHIRE",33,2007,"April","Winter Storm","Z",12,"HILLSBOROUGH","BOX","04-APR-07 08:00:00","EST-5","05-APR-07 05:00:00","0","0","0","0","35.00K","0.00K","Trained Spotter",,,,,,,,,,,,,,,,,,,,,,"Low pressure developed off the mid Atlantic coast and tracked through southeast Massachusetts. This storm brought a wintry mix of snow and sleet to southwest New Hampshire, with the highest snowfall totals in Hillsborough County where amounts averaged between 4 and 8 inches. |About 16,000 electric customers were left without power due to downed trees and wires from the weight of the snow At least six communities, including Manchester, set up shelters for people without heat or power. |Some specific snowfall totals, as reported by trained spotters, included 9 inches in Francestown and South Weare, 8 inches in Goffstown, 7 inches in Milford, and 5 inches in Nashua, Wilton, and Hudson.","Snowfall totals averaged around 5 inches with significant impact from downed trees and wires, which caused widespread power outages.","CSV"
200702,14,0,200702,15,300,2679,13833,"NEW HAMPSHIRE",33,2007,"February","Winter Storm","Z",12,"HILLSBOROUGH","BOX","14-FEB-07 00:00:00","EST-5","15-FEB-07 03:00:00","0","0","0","0","0.00K","0.00K","Trained Spotter",,,,,,,,,,,,,,,,,,,,,,"Low pressure strengthened rapidly as it tracked from the mid Atlantic coast to Cape Cod. Snow began in southwest New Hampshire around midnight on the 14th, and mixed with sleet and freezing rain at times near the Massachusetts border during the day, before ending as flurries around midnight on the 15th. The combination of heavy snow, poor visibility, and snow covered roads led to dozens of minor accidents throughout Cheshire and Hillsborough Counties.|Snowfall totals averaged from as little as 6 to 10 inches in the Merrimack Valley to as much as 15 to 20 inches in northern sections of Cheshire and Hillsborough Counties. Some specific storm totals, as reported by trained spotters and cooperative observers, included 20 inches in Francestown, 17 inches in Nelson, 16 inches in Jaffrey and Swanzey, 14 inches in New Ipswich, 12 inches in Rindge and Greenfield, 10 inches in Hudson and Wilton, 8 inches in Bedford and Milford, and 6 inches in Mason and Nashua.","Snowfall totals ranged from 6 inches in Nashua to 10 inches in Hudson.","CSV"
200707,31,1706,200707,31,1830,9400,52835,"ARIZONA",4,2007,"July","Flood","C",25,"YAVAPAI","FGZ","31-JUL-07 17:06:00","MST-7","31-JUL-07 18:30:00","0","0","0","0","0.00K","0.00K","Trained Spotter",,,"Heavy Rain",,,,,,,,,"2","SSE","CLEMENCEAU","2","SSE","CLEMENCEAU","34.7","-112.02","34.7","-112.02","Thunderstorms with very heavy rain caused flash flooding across central and southern Yavapai County.","The intersection of 6th and Cyprus Roads was flooded. A spotter recorded 0.75 inches of rain in 30 minutes near the intersection.","CSV"
