1,2006,1,ALABAMA,124,5,0,1,0,0,0
2,2006,1,ALABAMA,626,9,0,0,0,0,0
3,2006,1,ALABAMA,312,6,0,1,0,0,0
4,2006,1,ALABAMA,81,9,2,0,0,0,0
1,2006,2,ALASKA,141,2,0,2,0,0,0
2,2006,2,ALASKA,31,0,0,0,0,0,0
3,2006,2,ALASKA,16,0,0,0,0,0,0
4,2006,2,ALASKA,142,0,0,0,0,0,0
1,2006,97,AMERICAN SAMOA,11,0,0,0,0,0,0
2,2006,97,AMERICAN SAMOA,2,1,0,1,0,0,0
3,2006,97,AMERICAN SAMOA,5,0,0,0,0,0,0
4,2006,97,AMERICAN SAMOA,5,0,0,0,0,0,0
1,2006,4,ARIZONA,51,13,0,10,0,0,0
2,2006,4,ARIZONA,58,9,0,4,0,0,0
3,2006,4,ARIZONA,258,4,0,7,0,0,0
4,2006,4,ARIZONA,22,0,0,0,0,0,0
1,2006,5,ARKANSAS,321,18,0,1,0,0,0
2,2006,5,ARKANSAS,462,56,0,0,0,0,0
3,2006,5,ARKANSAS,430,7,0,5,0,0,0
4,2006,5,ARKANSAS,53,5,0,0,0,0,0
1,2006,88,ATLANTIC NORTH,21,0,0,0,0,0,0
2,2006,88,ATLANTIC NORTH,104,0,0,0,0,0,0
3,2006,88,ATLANTIC NORTH,165,0,0,0,0,0,0
4,2006,88,ATLANTIC NORTH,8,0,0,2,0,0,0
1,2006,87,ATLANTIC SOUTH,29,1,0,0,0,0,0
2,2006,87,ATLANTIC SOUTH,35,0,0,0,0,0,0
3,2006,87,ATLANTIC SOUTH,50,5,0,0,0,0,0
4,2006,87,ATLANTIC SOUTH,25,0,0,0,0,0,0
1,2006,6,CALIFORNIA,347,46,0,11,0,0,0
2,2006,6,CALIFORNIA,125,0,0,3,0,0,0
3,2006,6,CALIFORNIA,167,74,0,65,0,0,0
4,2006,6,CALIFORNIA,223,3,2,9,0,0,0
1,2006,8,COLORADO,339,2,0,2,0,0,0
2,2006,8,COLORADO,509,1,0,1,0,0,0
3,2006,8,COLORADO,355,17,0,5,0,0,0
4,2006,8,COLORADO,361,0,0,1,3,0,0
1,2006,9,CONNECTICUT,60,0,0,0,0,0,0
2,2006,9,CONNECTICUT,37,1,0,1,0,0,0
3,2006,9,CONNECTICUT,75,0,0,0,0,0,0
4,2006,9,CONNECTICUT,27,0,0,0,0,0,0
1,2006,10,DELAWARE,48,0,0,0,0,0,0
2,2006,10,DELAWARE,28,1,0,0,0,0,0
3,2006,10,DELAWARE,56,11,0,2,0,0,0
4,2006,10,DELAWARE,47,0,0,0,0,0,0
1,2006,11,DISTRICT OF COLUMBIA,6,0,0,0,0,0,0
